keys,en,ru
HTP_9,"A little about the shooting modes. There are 3 shooting modes - Single, Burst and Shotgun.","Немного о режимах стрельбы. Есть 3 режима стрельбы - Одиночный, Очередь и "Дробовик"."
HTP_10,"A single shot is quite powerful and accurate. Average rate of fire.","Одиночный выстрел довольно мощный и точный. Средняя скорострельность."
HTP_11,"When shooting in burst, you fire 5 shots in a row, each of which is weaker than a single one. Has a small spread and a high rate of fire.","При стрельбе очередью вы производите подряд 5 выстрелов, каждый из которых слабее одиночного. Имеет небольшой разброс и высокую скорострельность."
HTP_12,"The Shotgun fires 6 bullets with a wide spread. It is a very powerful weapon, but has a short firing range.",""Дробовик" стреляет 6 пулями с большим разбросом. Является очень мощным оружием, но имеет малую дальность стрельбы."
HTP_13,"In addition to the shooting modes, you can also choose one of the three available skills - Shield, Dash and Grenade.","Помимо режимов стрельбы можно так же выбрать одно умение из трех доступных - Щит, Рывок и Граната."
HTP_14,"When using a shield, you are protected from any damage for 1.5 seconds. The recovery time is 10 seconds.","При использовании щита вы защищены от любого урона 1,5 секунды. Время восстановления - 10 секунд."
HTP_15,"When using a dash, the mech abruptly moves towards the sight, while while you are in a dash state, you are invulnerable. Recovery time - 5 seconds.","При использовании рывка мех резко перемещается в сторону прицела, при это пока вы находитесь в состоянии рывка, вы неуязвимы. Время восстановления - 5 секунд."
HTP_16,"The grenade has a fairly high explosion power. Killing with a grenade also replenishes health. Deals damage equal to three times the damage player. The recovery time is 10 seconds.","Граната имеет довольно большую мощность взрыва. Убийство с гранаты так же восполняет здоровье. Наносит урон, равный трехкратному показателю урона игрока. Время восстановления - 10 секунд."
HTP_17,"The arena contains a large number of moving walls. They can be effectively used, preventing opponents from reaching you. But be careful, if you don't manage your fur effectively, they can get in your way too.","На арене расположено большое количество движущихся стен. Их можно эффективно исспользовать, мешая противникам до вас добраться. Но будьте аккуратны, при неэффективном управлении мехом они могут помешать и вам."
HTP_18,"Try to constantly move and do not let opponents catch up with you from several sides. Opponents will not stand still and will try with all their might to finish you off.","Старайтесь постоянно двигаться и не позволяйте противникам нагонять вас с нескольких сторон. Противники стоять на месте не станут и постараются всеми силами вас прикончить."
HTP_19,"This is probably all you need to know for now. Additionally, you can find out from the tips on the scoring screen after death, or by experimenting yourself. If it's too hard, there's nothing wrong with lowering the difficulty. Good luck and pleasant game!","Пожалуй пока это все, что вам нужно знать. Дополнительно вы можете узнать из подсказок на экране подсчета очков после смерти, либо поэксперементировав самим. Если слишком сложно - нет ничего зазорного в том, чтобы понизить сложность. Удачи и приятной игры!"
